Spanish,English,Section,Source,capitals
Argentina,Argentina,1.1 El español global,claro1_sb_0112_vocab.docx,yes
Chile,Chile,1.1 El español global,claro1_sb_0112_vocab.docx,yes
Colombia,Colombia,1.1 El español global,claro1_sb_0112_vocab.docx,yes
Cuba,Cuba,1.1 El español global,claro1_sb_0112_vocab.docx,yes
España,Spain,1.1 El español global,claro1_sb_0112_vocab.docx,yes
Estados Unidos,United States,1.1 El español global,claro1_sb_0112_vocab.docx,yes
Guinea Ecuatorial,Equatorial Guinea,1.1 El español global,claro1_sb_0112_vocab.docx,yes
Perú,Peru,1.1 El español global,claro1_sb_0112_vocab.docx,yes
República Dominicana,Dominican Republic,1.1 El español global,claro1_sb_0112_vocab.docx,yes
el destino,destination,1.1 El español global,claro1_sb_0112_vocab.docx,
el mapa,map,1.1 El español global,claro1_sb_0112_vocab.docx,
el monumento,monument,1.1 El español global,claro1_sb_0112_vocab.docx,
el mundo,world,1.1 El español global,claro1_sb_0112_vocab.docx,
el país,country,1.1 El español global,claro1_sb_0112_vocab.docx,
famoso/a,famous,1.1 El español global,claro1_sb_0112_vocab.docx,
hispanohablante,Spanish-speaking,1.1 El español global,claro1_sb_0112_vocab.docx,yes
histórico/a,historic,1.1 El español global,claro1_sb_0112_vocab.docx,
la Isla de Pascua,Easter Island,1.1 El español global,claro1_sb_0112_vocab.docx,yes
la capital,capital,1.1 El español global,claro1_sb_0112_vocab.docx,
las Islas Baleares,Balearic Islands,1.1 El español global,claro1_sb_0112_vocab.docx,yes
las Islas Canarias,Canary Islands,1.1 El español global,claro1_sb_0112_vocab.docx,yes
las Islas Filipinas,Philippines,1.1 El español global,claro1_sb_0112_vocab.docx,yes
¿De dónde eres?,Where are you from?,1.1 El español global,claro1_sb_0112_vocab.docx,
¿De dónde es?,Where is he/she from?,1.1 El español global,claro1_sb_0112_vocab.docx,
Buenas tardes,Good afternoon,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
Buenos días,Good morning/ day,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
bien,well,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
el alfabeto,alphabet,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
escribir,to write,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
fantástico/a,fantastic,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
fatal,awful,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
fenomenal,"great, excellent",1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
llamarse,to be called,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
mal,bad/badly,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
regular,so-so,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
¡Adiós!,Goodbye!,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
¡Hasta luego!,See you later!,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
¡hola!,Hello!,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
¿Cómo estás?,How are you?,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
¿Qué tal?,How are you? (casual),1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
¿Y tú?,And you?,1.2 ¿Qué tal?,claro1_sb_0112_vocab.docx,
catorce,14,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
cinco,5,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
cuatro,4,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
diecinueve,19,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
dieciocho,18,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
diecisiete,17,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
dieciséis,16,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
diez,10,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
doce,12,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
dos,2,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
el apellido,surname,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
el carnet de identidad,ID card,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
el lugar de nascimiento,birthplace,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
el nombre,name,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
el/la amigo/a,friend,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
la edad,age,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
nueve,9,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
ocho,8,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
once,11,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
quince,15,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
seis,6,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
siete,7,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
trece,13,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
treinta,30,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
treinta y uno,31,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
tres,3,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
uno,1,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veinte,20,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veinticinco,25,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veinticuatro,24,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veintidós,22,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veintinueve,29,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veintiocho,28,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veintisiete,27,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veintiséis,26,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veintitrés,23,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
veintiuno,21,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
¿Cuántos años tienes?,How old are you?,1.3 Mi carnet de identidad,claro1_sb_0112_vocab.docx,
abril,April,1.4 ¡…y que cumplas muchos más!,claro1_sb_0112_vocab.docx,yes
agosto,August,1.4 ¡…y que cumplas muchos más!,claro1_sb_0112_vocab.docx,yes
diciembre,December,1.4 ¡…y que cumplas muchos más!,claro1_sb_0112_vocab.docx,yes
domingo,Sunday,1.4 ¡…y que cumplas muchos más!,claro1_sb_0112_vocab.docx,yes
el año,year,1.4 ¡…y que cumplas muchos más!,claro1_sb_0112_vocab.docx,
el cumpleaños,birthday,1.4 ¡…y que cumplas muchos más!,claro1_sb_0112_vocab.docx,
el mes,month,1.4 ¡…y que cumplas muchos más!,claro1_sb_0112_vocab.docx,
